participant_ID,condition,encoding_voice,n_total,n_hits,hit_rate,fa_rate,corr_score,mean_rt,wr_yes,wr_no
232,HH,Active,6,6,1.0,0.15625,0.84375,896.0,3,3
232,HH,Passive,6,6,1.0,0.15625,0.84375,1064.1666666666667,3,3
232,HL,Active,6,6,1.0,0.15625,0.84375,855.6666666666666,2,4
232,HL,Passive,6,6,1.0,0.15625,0.84375,981.0,4,2
232,LH,Active,6,6,1.0,0.15625,0.84375,868.6666666666666,4,2
232,LH,Passive,6,5,0.8333333333333334,0.15625,0.6770833333333334,896.4,1,4
232,LL,Active,6,6,1.0,0.15625,0.84375,901.6666666666666,3,3
232,LL,Passive,6,6,1.0,0.15625,0.84375,973.0,5,1
235,HH,Active,6,5,0.8333333333333334,0.22916666666666666,0.6041666666666667,1669.8,3,2
235,HH,Passive,6,6,1.0,0.22916666666666666,0.7708333333333334,1875.8333333333333,3,3
235,HL,Active,6,4,0.6666666666666666,0.22916666666666666,0.4375,1298.75,3,1
235,HL,Passive,6,6,1.0,0.22916666666666666,0.7708333333333334,1174.6666666666667,4,2
235,LH,Active,6,4,0.6666666666666666,0.22916666666666666,0.4375,1293.75,3,1
235,LH,Passive,6,4,0.6666666666666666,0.22916666666666666,0.4375,1633.25,1,3
235,LL,Active,6,5,0.8333333333333334,0.22916666666666666,0.6041666666666667,1839.2,3,2
235,LL,Passive,6,2,0.3333333333333333,0.22916666666666666,0.10416666666666666,1321.0,0,2
236,HH,Active,6,6,1.0,0.15625,0.84375,2065.3333333333335,6,0
236,HH,Passive,6,6,1.0,0.15625,0.84375,1368.6666666666667,5,1
236,HL,Active,6,5,0.8333333333333334,0.15625,0.6770833333333334,1424.8,4,1
236,HL,Passive,6,6,1.0,0.15625,0.84375,1688.0,5,1
236,LH,Active,6,5,0.8333333333333334,0.15625,0.6770833333333334,1680.8,4,1
236,LH,Passive,6,6,1.0,0.15625,0.84375,1965.8333333333333,5,1
