participant_ID,n_targets,n_hits,n_missed,hit_rate,n_filler,n_fa,fa_rate,corr_score,mean_rt,median_rt,sd_rt,min_rt,max_rt,n_valid_blocks
232,48,47,1,0.9791666666666666,96,15,0.15625,0.8229166666666666,930.2765957446809,894.0,161.60968242107535,665,1628,3
235,48,36,12,0.75,96,22,0.22916666666666666,0.5208333333333334,1538.6944444444443,1367.5,630.4353354558722,706,2982,3
236,48,46,2,0.9583333333333334,96,15,0.15625,0.8020833333333334,1807.3695652173913,1777.5,638.6540997079123,932,3148,3
241,48,43,5,0.8958333333333334,96,21,0.21875,0.6770833333333334,1802.4186046511627,1510.0,659.2918763783747,1105,3646,3
242,48,40,8,0.8333333333333334,96,2,0.020833333333333332,0.8125,1725.625,1572.0,562.143917849335,1079,3427,3
243,48,46,2,0.9583333333333334,96,7,0.07291666666666667,0.8854166666666667,2212.0652173913045,2130.5,720.7804768073923,996,3934,3
245,48,18,30,0.375,96,18,0.1875,0.1875,1692.1666666666667,1577.0,642.0747836333223,930,3834,3
246,48,23,25,0.4791666666666667,96,6,0.0625,0.4166666666666667,1807.9565217391305,1786.0,409.45833554150954,901,2696,3
247,48,42,6,0.875,96,4,0.041666666666666664,0.8333333333333334,1829.9285714285713,1781.0,539.0648601693379,939,3218,3
249,48,35,13,0.7291666666666666,96,23,0.23958333333333334,0.48958333333333326,1480.7428571428572,1436.0,370.21039136894984,781,2290,3
251,48,47,1,0.9791666666666666,96,41,0.4270833333333333,0.5520833333333333,1981.659574468085,1822.0,595.9232164089079,1032,3639,3
252,48,45,3,0.9375,96,10,0.10416666666666667,0.8333333333333334,1343.5111111111112,1272.0,318.38380906783436,823,2067,3
253,48,48,0,1.0,96,12,0.125,0.875,1655.5416666666667,1459.0,672.8361910082984,773,3565,3
254,48,37,11,0.7708333333333334,96,30,0.3125,0.45833333333333337,2140.4324324324325,1925.0,497.5983694974449,1488,3543,3
256,48,45,3,0.9375,96,18,0.1875,0.75,2243.911111111111,2064.0,696.8143008553594,1162,3728,3
257,48,27,21,0.5625,96,14,0.14583333333333334,0.41666666666666663,2084.1111111111113,1986.0,697.7020128718507,1130,3532,3
258,48,41,7,0.8541666666666666,96,7,0.07291666666666667,0.78125,2188.609756097561,2034.0,554.0765500537382,1186,3682,3
259,48,38,10,0.7916666666666666,96,28,0.2916666666666667,0.49999999999999994,1780.2105263157894,1542.5,649.4274060113804,1045,3800,3
260,48,39,9,0.8125,96,7,0.07291666666666667,0.7395833333333334,1892.4871794871794,1722.0,544.3542809319753,1182,3676,3
261,48,48,0,1.0,96,25,0.2604166666666667,0.7395833333333333,1416.4791666666667,1313.5,396.09773570753833,788,2439,3
262,48,39,9,0.8125,96,6,0.0625,0.75,2106.8205128205127,2057.0,638.4842174944347,1017,3520,3
263,48,34,14,0.7083333333333334,96,17,0.17708333333333334,0.53125,1779.9117647058824,1686.0,577.4623169598606,943,3095,3
264,48,45,3,0.9375,96,12,0.125,0.8125,1217.2222222222222,1108.0,308.6973986780862,785,2463,3
266,48,42,6,0.875,96,12,0.125,0.75,1456.904761904762,1226.0,621.1191822418245,817,3786,3
267,48,46,2,0.9583333333333334,96,20,0.20833333333333334,0.75,1696.0217391304348,1580.0,603.6545401761146,828,3880,3
269,48,41,7,0.8541666666666666,96,3,0.03125,0.8229166666666666,1402.5853658536585,1213.0,555.7241364952603,842,3418,3
270,48,34,14,0.7083333333333334,96,1,0.010416666666666666,0.6979166666666667,1907.235294117647,1766.0,536.0131176414782,1150,3495,3
271,48,48,0,1.0,96,59,0.6145833333333334,0.38541666666666663,1893.125,1874.0,517.8801995072477,1142,3488,3
273,48,29,19,0.6041666666666666,96,6,0.0625,0.5416666666666666,1769.2758620689656,1598.0,711.8403974812935,967,3554,3
276,48,35,13,0.7291666666666666,96,12,0.125,0.6041666666666666,2097.114285714286,1982.0,673.464975075216,1159,3922,3
277,48,47,1,0.9791666666666666,96,21,0.21875,0.7604166666666666,1593.5531914893618,1444.0,554.482998933994,876,3190,3
279,48,45,3,0.9375,96,10,0.10416666666666667,0.8333333333333334,1965.9333333333334,1821.0,628.5940714536422,1087,3747,3
280,48,47,1,0.9791666666666666,96,8,0.08333333333333333,0.8958333333333333,1664.5106382978724,1482.0,513.2010460985186,923,3280,3
281,48,40,8,0.8333333333333334,96,37,0.3854166666666667,0.4479166666666667,1657.425,1593.5,458.5046285208034,959,3424,3
282,48,44,4,0.9166666666666666,96,24,0.25,0.6666666666666666,1649.3863636363637,1539.5,568.6997616536854,809,3221,3
283,48,26,22,0.5416666666666666,96,6,0.0625,0.47916666666666663,1811.923076923077,1807.5,436.3912255936729,989,2787,3
285,48,46,2,0.9583333333333334,96,6,0.0625,0.8958333333333334,1400.391304347826,1357.5,288.5442832610733,979,2163,3
286,48,28,20,0.5833333333333334,96,12,0.125,0.45833333333333337,1708.607142857143,1587.0,515.894115609403,936,3592,3
289,48,41,7,0.8541666666666666,96,9,0.09375,0.7604166666666666,1970.8292682926829,2012.0,487.7517312511448,955,3114,3
290,48,45,3,0.9375,96,9,0.09375,0.84375,1794.888888888889,1614.0,708.7496728503174,921,4010,3
292,48,44,4,0.9166666666666666,96,38,0.3958333333333333,0.5208333333333333,1161.9545454545455,1159.5,270.7783355898204,815,2269,3
293,48,42,6,0.875,96,9,0.09375,0.78125,1815.095238095238,1763.5,499.1954865449488,979,3125,3
294,48,45,3,0.9375,96,33,0.34375,0.59375,1537.4888888888888,1388.0,544.3001468643411,598,3024,3
295,48,44,4,0.9166666666666666,96,5,0.052083333333333336,0.8645833333333333,1672.2954545454545,1526.0,548.7080105925462,1003,3935,3
296,48,43,5,0.8958333333333334,96,12,0.125,0.7708333333333334,1593.6976744186047,1554.0,490.08625414942986,860,3620,3
297,48,44,4,0.9166666666666666,96,38,0.3958333333333333,0.5208333333333333,1512.840909090909,1443.5,452.5306590910227,886,2812,3
298,48,30,18,0.625,96,9,0.09375,0.53125,1628.1,1519.5,583.8369835265091,854,3565,3
299,16,7,9,0.4375,32,8,0.25,0.1875,1658.142857142857,1296.0,622.5118308850336,981,2546,1
302,48,37,11,0.7708333333333334,96,18,0.1875,0.5833333333333334,1626.5135135135135,1447.0,714.4557415082769,699,3463,3
303,48,42,6,0.875,96,5,0.052083333333333336,0.8229166666666666,2239.5476190476193,2187.0,466.84637028332145,1518,3443,3
304,48,35,13,0.7291666666666666,96,18,0.1875,0.5416666666666666,1948.6285714285714,1742.0,649.1344604587728,1115,3533,3
305,48,48,0,1.0,96,14,0.14583333333333334,0.8541666666666666,1676.8541666666667,1573.0,574.5703826042309,804,3333,3
307,48,48,0,1.0,96,17,0.17708333333333334,0.8229166666666666,931.5416666666666,927.0,184.35777697335027,629,1404,3
308,48,43,5,0.8958333333333334,96,30,0.3125,0.5833333333333334,1895.3255813953488,1870.0,390.9243500795609,1074,2952,3
309,48,9,39,0.1875,96,5,0.052083333333333336,0.13541666666666666,1880.5555555555557,1518.0,673.9162676493788,1193,2963,3
310,48,40,8,0.8333333333333334,96,10,0.10416666666666667,0.7291666666666667,1524.95,1310.5,714.9000611973677,667,3918,3
311,48,44,4,0.9166666666666666,96,13,0.13541666666666666,0.78125,1974.840909090909,1806.0,518.2024412762141,1251,3361,3
312,48,43,5,0.8958333333333334,96,15,0.15625,0.7395833333333334,1780.0697674418604,1642.0,549.2782323448225,896,3491,3
313,48,46,2,0.9583333333333334,96,41,0.4270833333333333,0.53125,1247.8260869565217,1196.0,316.2480661118273,810,2468,3
314,48,42,6,0.875,96,14,0.14583333333333334,0.7291666666666666,1554.595238095238,1387.5,458.67817639509923,950,2709,3
316,48,44,4,0.9166666666666666,96,14,0.14583333333333334,0.7708333333333333,1580.7954545454545,1391.5,583.1772917524331,740,3228,3
317,48,40,8,0.8333333333333334,96,23,0.23958333333333334,0.59375,1424.9,1308.0,523.3041562991832,917,3306,3
318,48,44,4,0.9166666666666666,96,12,0.125,0.7916666666666666,1812.8636363636363,1753.0,446.92960554661136,1127,2988,3
322,48,39,9,0.8125,96,23,0.23958333333333334,0.5729166666666666,1512.1538461538462,1378.0,579.8540284244639,808,3737,3
323,48,46,2,0.9583333333333334,96,6,0.0625,0.8958333333333334,1809.5,1615.0,616.8944222967732,911,3911,3
325,48,30,18,0.625,96,11,0.11458333333333333,0.5104166666666666,2069.3333333333335,1997.0,666.4275071020269,999,3638,3
326,48,37,11,0.7708333333333334,96,14,0.14583333333333334,0.625,1342.162162162162,1225.0,417.0006490054911,875,2489,3
327,48,45,3,0.9375,96,11,0.11458333333333333,0.8229166666666666,2006.2666666666667,1856.0,645.4283469999681,930,3771,3
328,48,42,6,0.875,96,15,0.15625,0.71875,1298.404761904762,1159.5,432.05665741360764,671,2340,3
329,48,39,9,0.8125,96,8,0.08333333333333333,0.7291666666666666,2145.871794871795,2286.0,783.2617592883271,796,3519,3
330,48,40,8,0.8333333333333334,96,21,0.21875,0.6145833333333334,2329.775,2199.5,757.7498758660406,1210,3827,3
331,48,37,11,0.7708333333333334,96,6,0.0625,0.7083333333333334,2371.0810810810813,2337.0,467.7715646222005,1545,3758,3
