participant_ID,block,Stimulus,condition,voice,hit,RT_IR_ms,accuracy_WR,RT_WR_ms
232,1,HVL_113_A,HL,Active,1,881.0,1.0,2454.0
232,1,LVH_170_A,LH,Active,1,688.0,0.0,1467.0
232,1,LVH_119_P,LH,Passive,0,,,
232,1,LVH_151_P,LH,Passive,1,894.0,1.0,620.0
232,1,HVL_111_P,HL,Passive,1,806.0,1.0,1935.0
232,1,HH_179_A,HH,Active,1,935.0,1.0,1346.0
232,1,LVL_108_A,LL,Active,1,756.0,1.0,3097.0
232,1,HVL_107_P,HL,Passive,1,1097.0,0.0,2554.0
232,1,HH_140_P,HH,Passive,1,1156.0,1.0,990.0
232,1,LVH_102_A,LH,Active,1,968.0,1.0,456.0
232,1,HH_138_A,HH,Active,1,886.0,1.0,401.0
232,1,LVL_123_P,LL,Passive,1,979.0,1.0,2636.0
232,1,LVL_121_A,LL,Active,1,952.0,1.0,1943.0
232,1,HH_139_P,HH,Passive,1,920.0,1.0,655.0
232,1,HVL_128_A,HL,Active,1,768.0,0.0,921.0
232,1,LVL_131_P,LL,Passive,1,875.0,1.0,1155.0
232,2,HH_150_P,HH,Passive,1,1078.0,1.0,754.0
232,2,LVL_101_A,LL,Active,1,935.0,1.0,1360.0
232,2,HH_149_A,HH,Active,1,757.0,1.0,407.0
232,2,LVL_137_P,LL,Passive,1,1628.0,1.0,924.0
232,2,LVH_159_A,LH,Active,1,865.0,1.0,1674.0
232,2,HH_145_P,HH,Passive,1,1092.0,1.0,478.0
232,2,HVL_102_P,HL,Passive,1,1016.0,1.0,2457.0
232,2,HVL_163_A,HL,Active,1,755.0,1.0,833.0
232,2,LVH_153_P,LH,Passive,1,915.0,1.0,433.0
232,2,HVL_106_A,HL,Active,1,1233.0,1.0,4051.0
232,2,HH_144_A,HH,Active,1,962.0,1.0,1211.0
232,2,LVH_109_A,LH,Active,1,878.0,1.0,948.0
232,2,HVL_103_P,HL,Passive,1,1069.0,0.0,3383.0
232,2,LVH_161_P,LH,Passive,1,972.0,1.0,318.0
232,2,LVL_143_P,LL,Passive,1,762.0,0.0,294.0
232,2,LVL_103_A,LL,Active,1,1022.0,1.0,879.0
235,1,HH_162_A,HH,Active,1,1243.0,1.0,1951.0
235,1,LVL_135_P,LL,Passive,0,,,
235,1,LVL_126_A,LL,Active,1,1759.0,1.0,1036.0
235,1,HVL_139_P,HL,Passive,1,1297.0,1.0,285.0
235,1,HVL_116_A,HL,Active,1,1203.0,1.0,5458.0
235,1,HH_145_P,HH,Passive,1,2716.0,1.0,367.0
235,1,LVH_140_P,LH,Passive,0,,,
235,1,LVH_104_A,LH,Active,0,,,
235,1,LVH_181_P,LH,Passive,1,1361.0,1.0,627.0
235,1,HH_161_A,HH,Active,0,,,
235,1,HVL_152_P,HL,Passive,1,741.0,1.0,533.0
235,1,LVH_106_A,LH,Active,1,1514.0,1.0,250.0
235,1,HVL_109_A,HL,Active,1,920.0,0.0,1181.0
235,1,LVL_141_P,LL,Passive,0,,,
235,1,HH_152_P,HH,Passive,1,929.0,0.0,318.0
235,1,LVL_107_A,LL,Active,1,1485.0,1.0,827.0
235,2,LVL_114_A,LL,Active,1,819.0,1.0,1393.0
235,2,LVH_126_P,LH,Passive,1,1640.0,1.0,448.0
235,2,HH_165_P,HH,Passive,1,2414.0,0.0,236.0
235,2,LVH_134_P,LH,Passive,1,2169.0,0.0,3506.0
235,2,LVH_105_A,LH,Active,1,977.0,1.0,679.0
235,2,HVL_135_P,HL,Passive,1,1003.0,1.0,386.0
235,2,LVH_159_A,LH,Active,1,1606.0,1.0,227.0
235,2,LVL_125_A,LL,Active,1,2739.0,0.0,261.0
235,2,HVL_126_P,HL,Passive,1,1414.0,0.0,772.0
235,2,HH_179_A,HH,Active,1,2982.0,1.0,1681.0
235,2,HVL_158_A,HL,Active,0,,,
235,2,HVL_134_A,HL,Active,1,928.0,1.0,552.0
235,2,LVL_101_P,LL,Passive,1,1372.0,1.0,1371.0
235,2,LVL_133_P,LL,Passive,0,,,
235,2,HH_146_A,HH,Active,1,2039.0,1.0,303.0
235,2,HH_137_P,HH,Passive,1,1305.0,1.0,321.0
236,1,HH_182_A,HH,Active,1,2487.0,1.0,1500.0
236,1,HVL_144_A,HL,Active,1,1660.0,0.0,1028.0
236,1,LVL_129_A,LL,Active,1,1820.0,1.0,309.0
236,1,LVL_148_A,LL,Active,1,2190.0,1.0,1060.0
236,1,HVL_121_P,HL,Passive,1,2779.0,1.0,390.0
236,1,LVH_107_A,LH,Active,1,1792.0,0.0,361.0
236,1,HH_171_P,HH,Passive,1,1095.0,0.0,243.0
236,1,LVL_100_P,LL,Passive,1,1839.0,1.0,420.0
236,1,HVL_101_A,HL,Active,1,1463.0,1.0,362.0
236,1,HH_183_A,HH,Active,1,1902.0,0.0,642.0
236,1,HVL_139_P,HL,Passive,1,1123.0,1.0,202.0
236,1,HH_161_P,HH,Passive,1,932.0,1.0,223.0
236,1,LVH_100_P,LH,Passive,1,1608.0,1.0,715.0
236,1,LVH_121_A,LH,Active,0,,,
236,1,LVH_139_P,LH,Passive,1,1803.0,0.0,1213.0
236,1,LVL_143_P,LL,Passive,1,1793.0,0.0,246.0
236,2,HH_181_P,HH,Passive,1,1090.0,1.0,52.0
236,2,HVL_151_A,HL,Active,1,1835.0,1.0,3.0
236,2,HH_149_A,HH,Active,1,944.0,0.0,156.0
236,2,HH_144_P,HH,Passive,1,1479.0,0.0,265.0
236,2,LVL_139_A,LL,Active,1,1933.0,1.0,210.0
236,2,LVH_102_A,LH,Active,1,973.0,1.0,196.0
236,2,HVL_150_P,HL,Passive,1,1412.0,1.0,400.0
236,2,LVH_126_A,LH,Active,1,1763.0,0.0,3232.0
236,2,LVH_116_P,LH,Passive,1,2666.0,0.0,625.0
236,2,LVL_111_P,LL,Passive,1,2493.0,1.0,2002.0
236,2,HVL_154_P,HL,Passive,1,1590.0,0.0,257.0
236,2,HH_166_A,HH,Active,1,1014.0,1.0,124.0
236,2,HVL_114_A,HL,Active,1,1077.0,1.0,196.0
236,2,LVL_109_P,LL,Passive,1,1238.0,1.0,298.0
236,2,LVL_110_A,LL,Active,1,1543.0,1.0,299.0
236,2,LVH_140_P,LH,Passive,1,976.0,1.0,172.0
241,1,HH_146_A,HH,Active,1,3115.0,1.0,285.0
241,1,LVL_141_P,LL,Passive,1,1837.0,0.0,420.0
241,1,HVL_117_A,HL,Active,1,1334.0,1.0,2483.0
241,1,HVL_110_P,HL,Passive,1,2966.0,0.0,2770.0
241,1,HVL_120_A,HL,Active,1,1500.0,0.0,412.0
241,1,HH_160_P,HH,Passive,1,3409.0,0.0,6574.0
241,1,LVL_115_A,LL,Active,1,2796.0,0.0,587.0
241,1,LVH_101_P,LH,Passive,1,3646.0,0.0,310.0
241,1,HH_165_A,HH,Active,0,,,
241,1,HVL_164_P,HL,Passive,1,1342.0,1.0,289.0
241,1,LVL_102_P,LL,Passive,1,1375.0,1.0,2864.0
241,1,LVH_102_P,LH,Passive,1,1105.0,1.0,244.0
241,1,HH_186_P,HH,Passive,1,2129.0,1.0,2149.0
241,1,LVH_178_A,LH,Active,1,1295.0,1.0,310.0
241,1,LVH_123_A,LH,Active,1,1654.0,1.0,289.0
241,1,LVL_117_A,LL,Active,1,1502.0,0.0,165.0
241,2,HVL_150_A,HL,Active,1,2569.0,1.0,1327.0
241,2,HVL_139_P,HL,Passive,1,1105.0,1.0,385.0
241,2,LVH_104_A,LH,Active,1,1949.0,1.0,3411.0
241,2,LVH_105_A,LH,Active,0,,,
241,2,HVL_111_A,HL,Active,0,,,
241,2,LVH_153_P,LH,Passive,1,1316.0,1.0,578.0
241,2,HH_166_P,HH,Passive,1,1903.0,1.0,803.0
241,2,LVL_146_P,LL,Passive,1,1802.0,0.0,601.0
241,2,HH_139_P,HH,Passive,1,1529.0,1.0,3149.0
241,2,HH_141_A,HH,Active,1,1350.0,1.0,323.0
241,2,LVH_107_P,LH,Passive,1,1338.0,1.0,3608.0
241,2,HH_175_A,HH,Active,1,1428.0,1.0,877.0
241,2,LVL_100_P,LL,Passive,1,1905.0,1.0,2858.0
241,2,HVL_103_P,HL,Passive,1,1510.0,0.0,385.0
241,2,LVL_119_A,LL,Active,1,1260.0,0.0,469.0
241,2,LVL_135_A,LL,Active,0,,,
242,1,LVH_141_P,LH,Passive,1,1310.0,1.0,410.0
242,1,HVL_104_A,HL,Active,1,1588.0,1.0,786.0
242,1,HH_158_A,HH,Active,1,3280.0,1.0,1580.0
242,1,HVL_117_A,HL,Active,1,1592.0,1.0,828.0
242,1,LVH_134_A,LH,Active,1,1483.0,1.0,346.0
242,1,HVL_131_P,HL,Passive,1,1079.0,1.0,347.0
242,1,LVL_148_A,LL,Active,0,,,
