participant_ID,condition,voice,n_trials,n_hits,mean_RT_IR,hit_rate,corrected_mem_score,condition_voice
232,HH,Active,4,4,885.0,1.0,0.833,HH_Active
232,HH,Passive,4,4,1061.5,1.0,0.833,HH_Passive
232,HL,Active,4,4,909.25,1.0,0.833,HL_Active
232,HL,Passive,4,4,997.0,1.0,0.833,HL_Passive
232,LH,Active,4,4,849.75,1.0,0.833,LH_Active
232,LH,Passive,4,3,927.0,0.75,0.583,LH_Passive
232,LL,Active,4,4,916.25,1.0,0.833,LL_Active
232,LL,Passive,4,4,1061.0,1.0,0.833,LL_Passive
235,HH,Active,4,3,2088.0,0.75,0.583,HH_Active
235,HH,Passive,4,4,1841.0,1.0,0.833,HH_Passive
235,HL,Active,4,3,1017.0,0.75,0.583,HL_Active
235,HL,Passive,4,4,1113.75,1.0,0.833,HL_Passive
235,LH,Active,4,3,1365.6666666666667,0.75,0.583,LH_Active
235,LH,Passive,4,3,1723.3333333333333,0.75,0.583,LH_Passive
235,LL,Active,4,4,1700.5,1.0,0.833,LL_Active
235,LL,Passive,4,1,1372.0,0.25,0.08299999999999999,LL_Passive
236,HH,Active,4,4,1586.75,1.0,0.833,HH_Active
236,HH,Passive,4,4,1149.0,1.0,0.833,HH_Passive
236,HL,Active,4,4,1508.75,1.0,0.833,HL_Active
236,HL,Passive,4,4,1726.0,1.0,0.833,HL_Passive
236,LH,Active,4,3,1509.3333333333333,0.75,0.583,LH_Active
236,LH,Passive,4,4,1763.25,1.0,0.833,LH_Passive
236,LL,Active,4,4,1871.5,1.0,0.833,LL_Active
236,LL,Passive,4,4,1840.75,1.0,0.833,LL_Passive
241,HH,Active,4,3,1964.3333333333333,0.75,0.583,HH_Active
241,HH,Passive,4,4,2242.5,1.0,0.833,HH_Passive
241,HL,Active,4,3,1801.0,0.75,0.583,HL_Active
241,HL,Passive,4,4,1730.75,1.0,0.833,HL_Passive
241,LH,Active,4,3,1632.6666666666667,0.75,0.583,LH_Active
241,LH,Passive,4,4,1851.25,1.0,0.833,LH_Passive
241,LL,Active,4,3,1852.6666666666667,0.75,0.583,LL_Active
241,LL,Passive,4,4,1729.75,1.0,0.833,LL_Passive
242,HH,Active,4,4,2057.25,1.0,0.833,HH_Active
242,HH,Passive,4,3,1498.0,0.75,0.583,HH_Passive
242,HL,Active,4,4,1582.25,1.0,0.833,HL_Active
242,HL,Passive,4,4,1639.75,1.0,0.833,HL_Passive
242,LH,Active,4,4,1422.0,1.0,0.833,LH_Active
242,LH,Passive,4,4,1695.75,1.0,0.833,LH_Passive
242,LL,Active,4,2,1329.5,0.5,0.33299999999999996,LL_Active
242,LL,Passive,4,3,1706.3333333333333,0.75,0.583,LL_Passive
243,HH,Active,4,4,1919.75,1.0,0.833,HH_Active
243,HH,Passive,4,4,2600.5,1.0,0.833,HH_Passive
243,HL,Active,4,4,2477.25,1.0,0.833,HL_Active
243,HL,Passive,4,4,2886.75,1.0,0.833,HL_Passive
243,LH,Active,4,3,2432.0,0.75,0.583,LH_Active
243,LH,Passive,4,4,2321.5,1.0,0.833,LH_Passive
243,LL,Active,4,4,2172.25,1.0,0.833,LL_Active
243,LL,Passive,4,4,2735.0,1.0,0.833,LL_Passive
245,HH,Active,4,2,1252.5,0.5,0.33299999999999996,HH_Active
245,HH,Passive,4,0,,0.0,-0.167,HH_Passive
245,HL,Active,4,2,1206.5,0.5,0.33299999999999996,HL_Active
245,HL,Passive,4,1,3834.0,0.25,0.08299999999999999,HL_Passive
245,LH,Active,4,2,1690.5,0.5,0.33299999999999996,LH_Active
245,LH,Passive,4,1,1415.0,0.25,0.08299999999999999,LH_Passive
245,LL,Active,4,0,,0.0,-0.167,LL_Active
245,LL,Passive,4,1,2128.0,0.25,0.08299999999999999,LL_Passive
246,HH,Active,4,3,1949.0,0.75,0.583,HH_Active
246,HH,Passive,4,2,1591.5,0.5,0.33299999999999996,HH_Passive
246,HL,Active,4,2,1901.5,0.5,0.33299999999999996,HL_Active
246,HL,Passive,4,2,1678.0,0.5,0.33299999999999996,HL_Passive
246,LH,Active,4,2,1756.5,0.5,0.33299999999999996,LH_Active
246,LH,Passive,4,2,1798.5,0.5,0.33299999999999996,LH_Passive
246,LL,Active,4,2,1318.5,0.5,0.33299999999999996,LL_Active
246,LL,Passive,4,2,1875.5,0.5,0.33299999999999996,LL_Passive
247,HH,Active,4,4,1974.0,1.0,0.833,HH_Active
247,HH,Passive,4,4,1621.25,1.0,0.833,HH_Passive
247,HL,Active,4,3,1381.3333333333333,0.75,0.583,HL_Active
247,HL,Passive,4,3,1737.3333333333333,0.75,0.583,HL_Passive
247,LH,Active,4,4,1918.5,1.0,0.833,LH_Active
247,LH,Passive,4,4,1759.5,1.0,0.833,LH_Passive
247,LL,Active,4,3,2120.6666666666665,0.75,0.583,LL_Active
247,LL,Passive,4,4,2092.0,1.0,0.833,LL_Passive
249,HH,Active,4,4,1822.0,1.0,0.833,HH_Active
249,HH,Passive,4,2,1827.5,0.5,0.33299999999999996,HH_Passive
249,HL,Active,4,1,1714.0,0.25,0.08299999999999999,HL_Active
249,HL,Passive,4,4,1580.0,1.0,0.833,HL_Passive
249,LH,Active,4,3,1276.6666666666667,0.75,0.583,LH_Active
249,LH,Passive,4,3,1831.0,0.75,0.583,LH_Passive
249,LL,Active,4,3,1577.0,0.75,0.583,LL_Active
249,LL,Passive,4,2,1432.5,0.5,0.33299999999999996,LL_Passive
251,HH,Active,4,4,2207.25,1.0,0.833,HH_Active
251,HH,Passive,4,4,2371.75,1.0,0.833,HH_Passive
251,HL,Active,4,4,1856.75,1.0,0.833,HL_Active
251,HL,Passive,4,4,1667.75,1.0,0.833,HL_Passive
251,LH,Active,4,4,1689.5,1.0,0.833,LH_Active
251,LH,Passive,4,3,1996.0,0.75,0.583,LH_Passive
251,LL,Active,4,4,2053.75,1.0,0.833,LL_Active
251,LL,Passive,4,4,1643.25,1.0,0.833,LL_Passive
252,HH,Active,4,4,1239.5,1.0,0.833,HH_Active
252,HH,Passive,4,4,1113.0,1.0,0.833,HH_Passive
252,HL,Active,4,4,1238.75,1.0,0.833,HL_Active
252,HL,Passive,4,4,1466.75,1.0,0.833,HL_Passive
252,LH,Active,4,4,1185.5,1.0,0.833,LH_Active
252,LH,Passive,4,4,1422.75,1.0,0.833,LH_Passive
252,LL,Active,4,4,1390.5,1.0,0.833,LL_Active
252,LL,Passive,4,2,1745.0,0.5,0.33299999999999996,LL_Passive
253,HH,Active,4,4,1637.25,1.0,0.833,HH_Active
253,HH,Passive,4,4,1687.25,1.0,0.833,HH_Passive
