participant_id,block,corrected_memorability_score,hits,false_alarms,mean_rt_ir,mean_rt_wr,mean_rt_hits,mean_rt_false_alarms,validation_passed,validation_correct,validation_wrong,validation_missed,n_target_sentences,n_active,n_passive,n_HH,n_HL,n_LH,n_LL
232,1,-2,12,14,989.195652173913,1462.8620689655172,871.5833333333334,1341.0,True,10,0,0,16,8,8,4,4,4,4
232,2,7,17,10,1034.8510638297873,3501.4375,922.4705882352941,1170.8,True,10,0,0,16,8,8,4,4,4,4
232,3,6,14,8,1260.3095238095239,1183.9285714285713,982.6428571428571,2595.75,True,10,0,0,16,8,8,4,4,4,4
235,1,-16,10,26,1658.982142857143,1326.6969696969697,1543.9,1951.8461538461538,True,10,0,0,16,8,8,4,4,4,4
235,2,0,10,10,1297.8157894736842,1004.125,1413.3,1243.4,True,9,0,0,16,8,8,4,4,4,4
235,3,6,14,8,1257.1666666666667,672.1785714285714,1605.5,1159.25,True,10,0,1,16,8,8,4,4,4,4
236,1,1,15,14,1944.3469387755101,695.9375,2188.4666666666667,2425.714285714286,True,10,0,0,16,8,8,4,4,4,4
236,2,1,11,10,1563.7948717948718,435.84,1831.8181818181818,2077.0,True,9,0,0,16,8,8,4,4,4,4
236,3,11,17,6,1434.1555555555556,586.3870967741935,1553.235294117647,1931.3333333333333,True,11,0,0,16,8,8,4,4,4,4
241,1,-3,13,16,1710.3673469387754,376.6774193548387,1679.3846153846155,2359.75,True,10,0,0,16,8,8,4,4,4,4
241,2,-3,13,16,1711.2244897959183,810.2258064516129,2163.6923076923076,2042.75,True,10,0,0,16,8,8,4,4,4,4
241,3,-3,13,16,1741.2553191489362,1057.4,1649.3076923076924,2317.75,True,9,0,1,16,8,8,4,4,4,4
242,1,5,9,4,1969.060606060606,1628.5238095238096,2039.4444444444443,2357.5,True,10,0,0,16,8,8,4,4,4,4
242,2,12,14,2,1547.96875,709.5652173913044,1619.642857142857,2844.0,True,8,0,2,16,8,8,4,4,4,4
242,3,15,15,0,1622.7586206896551,644.2727272727273,1637.0666666666666,,True,7,0,1,16,8,8,4,4,4,4
243,1,6,14,8,1795.9761904761904,733.1071428571429,1775.357142857143,2654.75,True,10,0,0,16,8,8,4,4,4,4
243,2,8,14,6,1979.6842105263158,801.3846153846154,2176.1428571428573,2401.6666666666665,True,9,0,0,16,8,8,4,4,4,4
243,3,16,16,0,2119.5789473684213,561.8518518518518,2578.125,,True,11,0,0,16,8,8,4,4,4,4
245,1,-10,8,18,1250.05,511.875,1600.5,1067.4444444444443,True,7,0,3,16,8,8,4,4,4,4
245,2,-2,4,6,1751.9,599.5833333333334,2079.5,2494.6666666666665,True,5,0,2,16,8,8,4,4,4,4
245,3,-10,4,14,1563.6470588235295,777.7368421052631,1407.5,1842.4285714285713,True,8,0,4,16,8,8,4,4,4,4
246,1,1,5,4,2246.6666666666665,1889.2307692307693,1957.2,2996.0,True,6,0,0,16,8,8,4,4,4,4
246,2,6,12,6,1645.3095238095239,1502.8148148148148,1803.5833333333333,1731.0,True,12,0,1,16,8,8,4,4,4,4
246,3,1,3,2,1371.3684210526317,305.90909090909093,1922.6666666666667,2642.0,True,7,0,2,16,8,8,4,4,4,4
247,1,4,10,6,1652.0357142857142,1567.157894736842,1861.1,1900.0,True,6,0,0,16,8,8,4,4,4,4
247,2,13,13,0,1732.5384615384614,1304.423076923077,2065.923076923077,,True,13,0,1,16,8,8,4,4,4,4
247,3,16,16,0,1626.75,1007.35,1605.25,,True,4,0,3,16,8,8,4,4,4,4
249,1,-14,12,26,1312.888888888889,1218.3030303030303,1208.0,1410.7692307692307,True,8,0,0,16,8,8,4,4,4,4
249,2,-4,12,16,1475.6538461538462,733.46875,1516.6666666666667,1598.625,True,12,0,0,16,8,8,4,4,4,4
249,3,1,9,8,1725.0857142857142,792.8181818181819,1798.0,2017.25,True,9,0,1,16,8,8,4,4,4,4
251,1,-3,13,16,1920.723404255319,1018.2,1922.1538461538462,2279.0,True,9,0,0,16,8,8,4,4,4,4
251,2,-19,17,36,1980.08,840.804347826087,2046.0,2320.3333333333335,True,11,0,0,16,8,8,4,4,4,4
251,3,-24,12,36,2190.4117647058824,891.3,2044.6666666666667,2526.8333333333335,True,10,0,0,16,8,8,4,4,4,4
252,1,-4,10,14,1400.3636363636363,1069.5925925925926,1349.0,1770.142857142857,True,10,0,0,16,8,8,4,4,4,4
252,2,12,16,4,1307.921052631579,891.9629629629629,1396.9375,2009.0,True,9,0,0,16,8,8,4,4,4,4
252,3,15,15,0,1256.1891891891892,899.7307692307693,1349.0,,True,11,0,0,16,8,8,4,4,4,4
253,1,5,11,6,1731.2,1039.4347826086957,2140.5454545454545,1922.6666666666667,True,9,0,0,16,8,8,4,4,4,4
253,2,8,18,10,1641.66,687.6470588235294,1590.1666666666667,2323.8,True,11,0,0,16,8,8,4,4,4,4
253,3,1,15,14,1670.204081632653,589.1875,1437.3333333333333,2636.8571428571427,True,10,0,0,16,8,8,4,4,4,4
254,1,-22,10,32,2280.6206896551726,732.9411764705883,2146.6,2260.3125,True,8,0,0,16,8,8,4,4,4,4
254,2,-10,10,20,1979.9423076923076,340.83870967741933,1966.3,2076.7,True,11,0,0,16,8,8,4,4,4,4
254,3,-1,11,12,2168.5128205128203,389.56,2306.7272727272725,2295.1666666666665,True,8,0,2,16,8,8,4,4,4,4
256,1,-11,11,22,2343.274509803922,1202.6129032258063,2184.4545454545455,2605.090909090909,True,9,0,0,16,8,8,4,4,4,4
256,2,2,14,12,2455.608695652174,865.9,2714.0,2931.8333333333335,True,10,0,0,16,8,8,4,4,4,4
256,3,10,16,6,2018.6,1085.9285714285713,1968.5,2383.6666666666665,True,9,0,2,16,8,8,4,4,4,4
257,1,-3,11,14,1869.888888888889,321.4642857142857,2172.2727272727275,1750.4285714285713,True,10,0,0,16,8,8,4,4,4,4
257,2,1,7,6,1921.904761904762,108.78571428571429,1908.0,2486.6666666666665,True,4,0,3,16,8,8,4,4,4,4
257,3,-3,5,8,1979.5945945945946,138.71428571428572,2296.6,1765.75,True,12,0,1,16,8,8,4,4,4,4
258,1,-5,11,16,2357.390243902439,1429.3461538461538,2292.090909090909,2851.0,True,7,0,3,16,8,8,4,4,4,4
258,2,15,15,0,2162.6206896551726,1204.1363636363637,2162.9333333333334,,True,7,0,0,16,8,8,4,4,4,4
258,3,13,13,0,1878.909090909091,313.0,2157.846153846154,,True,10,0,3,16,8,8,4,4,4,4
259,1,-16,10,26,1516.107142857143,2419.6060606060605,1568.0,1584.6153846153845,True,10,0,0,16,8,8,4,4,4,4
259,2,-6,12,18,1554.2291666666667,1326.6,1613.9166666666667,1837.888888888889,True,9,0,0,16,8,8,4,4,4,4
259,3,4,14,10,1945.340909090909,1090.8275862068965,2049.3571428571427,2187.8,True,10,0,0,16,8,8,4,4,4,4
260,1,0,10,10,1776.5526315789473,1336.7916666666667,1891.7,1962.0,True,9,0,1,16,8,8,4,4,4,4
260,2,7,11,4,1693.8484848484848,1161.909090909091,1970.6363636363637,2305.5,True,9,0,1,16,8,8,4,4,4,4
260,3,12,14,2,1879.9166666666667,538.32,1904.357142857143,3072.0,True,10,0,0,16,8,8,4,4,4,4
261,1,-17,13,30,1354.5714285714287,785.2105263157895,1363.6923076923076,1499.3333333333333,True,10,0,0,16,8,8,4,4,4,4
261,2,8,16,8,1389.5454545454545,1067.7,1397.0,1886.5,True,10,0,0,16,8,8,4,4,4,4
261,3,2,16,14,1538.5,651.3225806451613,1443.0625,2194.285714285714,True,8,0,2,16,8,8,4,4,4,4
262,1,4,12,8,2036.421052631579,674.8,2205.6666666666665,3124.75,True,9,0,1,16,8,8,4,4,4,4
262,2,9,13,4,1840.258064516129,634.0454545454545,1969.5384615384614,2417.0,True,7,0,1,16,8,8,4,4,4,4
262,3,12,12,0,1503.7941176470588,431.1304347826087,2122.9166666666665,,True,11,0,1,16,8,8,4,4,4,4
263,1,-3,13,16,1874.4489795918366,1066.9032258064517,1744.6153846153845,2258.25,True,10,0,0,16,8,8,4,4,4,4
263,2,-4,10,14,1807.6666666666667,515.2692307692307,2180.4,1850.5714285714287,True,9,0,1,16,8,8,4,4,4,4
263,3,4,8,4,1746.3,518.0526315789474,1532.625,2579.5,True,9,0,1,16,8,8,4,4,4,4
264,1,-2,12,14,1329.6818181818182,1073.857142857143,1152.3333333333333,1839.5714285714287,True,9,0,0,16,8,8,4,4,4,4
264,2,6,14,8,1278.9772727272727,744.6206896551724,1301.7857142857142,1506.75,True,11,0,0,16,8,8,4,4,4,4
264,3,10,16,6,1125.0238095238096,920.448275862069,1187.1875,1709.6666666666667,True,10,0,0,16,8,8,4,4,4,4
266,1,-5,11,16,1333.872340425532,805.5862068965517,1482.909090909091,1386.25,True,10,0,0,16,8,8,4,4,4,4
266,2,10,14,4,1254.7894736842106,618.0,1348.7142857142858,1577.5,True,10,0,0,16,8,8,4,4,4,4
266,3,7,13,6,1416.7567567567567,851.84,1501.6923076923076,2423.3333333333335,True,9,0,0,16,8,8,4,4,4,4
267,1,-16,10,26,1402.625,1472.090909090909,1445.1,1566.5384615384614,True,10,0,0,16,8,8,4,4,4,4
267,2,7,17,10,1582.7446808510638,742.4375,1692.5294117647059,2204.0,True,10,0,0,16,8,8,4,4,4,4
267,3,7,15,8,2129.8536585365855,822.0714285714286,1861.4666666666667,2467.25,True,9,0,0,16,8,8,4,4,4,4
269,1,7,11,4,1467.0,1511.8260869565217,1757.7272727272727,2384.5,True,10,0,0,16,8,8,4,4,4,4
269,2,5,11,6,1492.7428571428572,1064.8260869565217,1437.6363636363637,2684.6666666666665,True,9,0,1,16,8,8,4,4,4,4
269,3,15,15,0,1116.8285714285714,695.2,1208.6,,True,10,0,0,16,8,8,4,4,4,4
270,1,4,6,2,1846.65,765.1538461538462,1768.1666666666667,2953.0,True,6,0,4,16,8,8,4,4,4,4
